metric,metric_label,mean_candidats,mean_autres,diff,diff_pct
lexical_jaccard,Chevauchement lexical (Jaccard),0.09016197474601052,0.09141253390813232,-0.0012505591621218004,-1.368039051820384
lexical_coverage,Coverage lexical (%),0.23427528736636508,0.2304290385673834,0.003846248798981683,1.6691684446085733
numeric_total,Densité numérique totale,39.92011019283746,39.39341563786008,0.5266945549773823,1.337011646360486
neg_total,Négations totales,4.96969696969697,4.683127572016461,0.28656939768050904,6.119188368749007
words_premise,Longueur prémisse (mots),262.5399449035813,243.35720164609054,19.182743257490728,7.882545956206302
words_statement,Longueur statement (mots),101.97245179063361,101.61399176954733,0.3584600210862874,0.3527664004178155
digits_statement,Chiffres dans statement,7.377410468319559,9.450205761316873,-2.0727952929973137,-21.933864143805398
pct_statement,Pourcentages dans statement,0.09917355371900827,0.10041152263374485,-0.001237968914736584,-1.2328952716434016
units_statement,Unités dans statement,0.7382920110192838,1.0353909465020577,-0.2970989354827739,-28.694372544639922
neg_statement,Négations dans statement,1.4683195592286502,1.4320987654320987,0.03622079379655152,2.529210601310925
trial_primary,"Mots-clés ""primary trial""",0.12672176308539945,0.11851851851851852,0.00820324456688093,6.921487603305784
trial_secondary,"Mots-clés ""secondary trial""",0.0743801652892562,0.09465020576131687,-0.02027004047206067,-21.41573841178584
