index,statement_type,gold
1,medical,Contradiction
11,medical,Entailment
14,medical,Entailment
30,medical,Contradiction
51,medical,Entailment
53,medical,Entailment
91,medical,Entailment
102,medical,Contradiction
116,medical,Entailment
122,medical,Entailment
137,medical,Entailment
144,medical,Contradiction
156,medical,Entailment
158,medical,Entailment
159,medical,Entailment
165,medical,Contradiction
168,medical,Entailment
170,medical,Entailment
175,medical,Entailment
182,medical,Contradiction
189,medical,Entailment
215,medical,Entailment
218,medical,Entailment
244,medical,Entailment
250,medical,Entailment
251,medical,Entailment
252,medical,Entailment
255,medical,Entailment
267,medical,Contradiction
269,medical,Entailment
285,medical,Entailment
302,medical,Entailment
306,medical,Entailment
308,medical,Entailment
309,medical,Entailment
327,medical,Entailment
333,medical,Entailment
351,medical,Entailment
366,medical,Entailment
376,medical,Entailment
379,medical,Contradiction
392,medical,Entailment
426,medical,Entailment
447,medical,Entailment
452,medical,Entailment
454,medical,Entailment
458,medical,Entailment
474,medical,Entailment
481,medical,Entailment
486,medical,Entailment
493,medical,Contradiction
494,medical,Entailment
502,medical,Entailment
510,medical,Entailment
516,medical,Contradiction
517,medical,Entailment
521,medical,Contradiction
529,medical,Entailment
535,medical,Entailment
561,medical,Entailment
575,medical,Entailment
579,medical,Entailment
594,medical,Entailment
618,medical,Entailment
619,medical,Entailment
620,medical,Entailment
623,medical,Entailment
633,medical,Entailment
662,medical,Entailment
664,medical,Entailment
675,medical,Entailment
691,medical,Entailment
709,medical,Entailment
716,medical,Entailment
722,medical,Entailment
730,medical,Entailment
736,medical,Entailment
741,medical,Entailment
772,medical,Entailment
777,medical,Contradiction
779,medical,Entailment
800,medical,Contradiction
801,medical,Entailment
812,medical,Entailment
835,medical,Entailment
836,medical,Entailment
839,medical,Entailment
843,medical,Entailment
860,medical,Entailment
871,medical,Entailment
879,medical,Entailment
884,medical,Entailment
899,medical,Entailment
903,medical,Entailment
911,medical,Entailment
919,medical,Entailment
926,medical,Entailment
929,medical,Entailment
930,medical,Entailment
935,medical,Entailment
944,medical,Entailment
945,medical,Contradiction
955,medical,Entailment
958,medical,Entailment
970,medical,Entailment
974,medical,Entailment
976,medical,Entailment
982,medical,Entailment
983,medical,Entailment
994,medical,Entailment
996,medical,Entailment
1003,medical,Entailment
1006,medical,Entailment
1014,medical,Contradiction
1019,medical,Entailment
1029,medical,Entailment
1038,medical,Entailment
1040,medical,Entailment
1058,medical,Entailment
1062,medical,Entailment
1073,medical,Contradiction
1080,medical,Entailment
1090,medical,Entailment
1096,medical,Entailment
1103,medical,Entailment
1108,medical,Entailment
1124,medical,Entailment
1125,medical,Entailment
1126,medical,Entailment
1127,medical,Entailment
1129,medical,Entailment
1138,medical,Entailment
1153,medical,Entailment
1160,medical,Entailment
1165,medical,Entailment
1186,medical,Entailment
1187,medical,Contradiction
1193,medical,Entailment
1201,medical,Entailment
1225,medical,Entailment
1228,medical,Entailment
1263,medical,Entailment
1274,medical,Entailment
1283,medical,Contradiction
1296,medical,Entailment
1306,medical,Entailment
1328,medical,Entailment
1337,medical,Entailment
1341,medical,Entailment
1352,medical,Entailment
1357,medical,Entailment
1363,medical,Contradiction
1366,medical,Entailment
1371,medical,Entailment
1376,medical,Entailment
1391,medical,Entailment
1392,medical,Entailment
1399,medical,Entailment
1408,medical,Entailment
1422,medical,Entailment
1424,medical,Entailment
1425,medical,Entailment
1433,medical,Contradiction
1437,medical,Entailment
1458,medical,Entailment
1463,medical,Entailment
1465,medical,Entailment
1481,medical,Entailment
1496,medical,Entailment
1498,medical,Entailment
1507,medical,Entailment
1516,medical,Entailment
1536,medical,Entailment
1556,medical,Contradiction
